image_filename,日文名字 Japanese Name,中文名字 Chinese Name,类型 Type,相关作品 Relevant Work,相关人物 Relevant Character,相关柄图 Relevant Image,Releaser/Event 发行商,发行日期 Release Year/Date,发行价格 Release Price (JPY),发行地区 Release Area,信息来源 Resource,详细信息 Detailed Information
077.jpg,ファミレス行こ。 上 アクリルスタンド付き特装版 (ビームコミックス),恰饭 日文 特装版 亚克力立牌,亚克力立牌/亚克力板,去家庭餐厅吧/去恰饭吧 （漫画）,"成田狂儿, 冈聪实",聪实 狂儿 中餐馆点单,,9/4/23,N/A 赠品,日本,https://x.com/YamaWayama_PR/status/1698716692212596944,日文版《去家庭餐厅吧。上》特装版 特典
078.jpg,,A6 复制原画,复制原画,"去唱卡拉OK吧 （漫画）, 去家庭餐厅吧/去恰饭吧 （漫画）, 为你着迷（漫画）","成田狂儿, 冈聪实, 二阶堂明, 目高优一",聪实 狂儿 确认背后抱,ダ・ヴィンチストア 达芬奇书店,11/12/25,N/A 赠品,日本,https://x.com/COMIC_BEAM/status/1987007168084943244,"Comic Beam 30周年纪念
线下达芬奇商店展览会确认举办！
凡购买一本Comics Beam漫画，即可获赠一套“三件套A6尺寸原作迷你复制画”（三款可选）！
A 篇
・一起去卡拉OK吧！
・解剖怪兽
・Evol
B 篇
・Lost in You.
・过度
・绿之歌 - 丰收之风 -
C 篇
・我们去家庭餐厅吧。
・疯狂山脉　洛夫克拉夫特杰作
・何时才能戳破煎蛋的蛋黄？
 活动时间
11/12（周三）～12/12（周五）
※活动时间、可领取漫画及领取方式可能会有所变更。
※赠品数量有限，送完即止。感谢您的理解。"
079.jpg,,为你着迷 特典,纸片子,为你着迷（漫画）,目高优一,,HMV&BOOKS,,,日本,,
080.jpg,,为你着迷 特典,纸片子,为你着迷（漫画）,二阶堂明,,ジュンク堂書店 淳久堂书店,,,日本,,
081.jpg,,为你着迷 特典,纸片子,为你着迷（漫画）,林美良,,カドスト Kadokawa 角川商店,,,日本,,
082.jpg,,繁中版《女校之星1》首刷限定版 特典 【班级日志】明信片套组 （一套3张）,纸片子,女校之星（漫画）,星老师,,,10/15/21,N/A 赠品,台湾,https://www.books.com.tw/products/0010902261?sloc=main,
083.jpg,,繁中版《女校之星2》首刷限定版 特典 四宫格 （一套2款：小林老师 & 星老师）,"纸片子, X宫格",女校之星（漫画）,"小林老师, 星老师",,,9/30/22,N/A 赠品,台湾,https://search.books.com.tw/redirect/move/key/%E5%92%8C%E5%B1%B1%E3%82%84%E3%81%BE/area/mid/item/0010935245/page/1/idx/20/cat/001/pdf/0/spell/3,
084.jpg,,繁中版《女校之星3》首刷限定版 特典 【老师的彩图录】相卡组（一套4张）,纸片子,女校之星（漫画）,"小林老师, 星老师","星老师 生日, 小林星 打扫卫生, 小林老师 红Polo",,9/4/23,N/A 赠品,台湾,https://www.books.com.tw/products/0010966167?sloc=main,相卡組4入 約10*15cm 紙質
085.jpg,,繁中版《女校之星4》首刷限定版 特典 烫金拍立得 （一套7张）,拍立得,女校之星（漫画）,"小林老师, 星老师, 中村老师","星老师 捧饭团, 小林老师 举排球, 中村老师",,10/2/25,N/A 赠品,台湾,https://www.books.com.tw/products/0011031724?sloc=main,
086.jpg,,繁中版《女校之星4》首刷限定版 随书附赠序号卡抽奖奖品 和山やま老師「複製簽名壓克力畫板」,亚克力立牌/亚克力板,女校之星（漫画）,"小林老师, 星老师, 中村老师",3个老师：星&小林&中村,,10/2/25,N/A 赠品,台湾,https://www.instagram.com/p/DPSwY1tk4IA/?img_index=1,"👓首刷限定版附錄 ☆抽獎序號卡
👓抽獎獎品是和山やま老師「複製簽名壓克力畫板」
☆抽獎參加方法：
首刷限定版或普通版均附序號卡一張，只要掃描序號卡上QR-Code進入表單，並於2025年10月31日午夜前填畢線上回函，即可參加抽獎（詳細規則請見表單）！
而獎品為限量製作的「複製簽名壓克力畫板」，快來參加回函活動吧！
"
087.jpg,,越南版 《去唱卡拉OK吧》随书附赠 人物书签 + 明信片*2,纸片子,去唱卡拉OK吧 （漫画）,"成田狂儿, 冈聪实","聪实 狂儿 TV对视, 聪实 狂儿 雨中撑伞",,,,越南,,
088.jpg,,简中版《去唱卡拉OK吧！》随书附赠,纸片子,去唱卡拉OK吧 （漫画）,"成田狂儿, 冈聪实",,,,,大陆,,
089.jpg,,简中版《为你着迷》随书附赠,纸片子,为你着迷（漫画）,二阶堂明,,,,,大陆,,
090.jpg,,越南版《为你着迷》随书附赠 明信片 + 人物书签*2,纸片子,为你着迷（漫画）,"二阶堂明, 目高优一",二阶堂 运动衣,,,,越南,,
091.jpg,,简中版《女校之星 1》随书附赠,纸片子,女校之星（漫画）,"小林老师, 星老师",小林星 放大镜,,,,大陆,,
092.jpg,,简中版《女校之星 2》随书附赠,"贴纸, 小卡, 纸片子",女校之星（漫画）,"小林老师, 星老师, 中村老师","星老师 锹甲虫幸运男孩, 星老师 生日, 女校之星 地铁, 中村老师",,,,大陆,,
093.jpg,,简中版《女校之星》茑屋 书店 活动 特典 杯套,杯套,女校之星（漫画）,"小林老师, 星老师",小林星 擦黑板,,,,大陆,,- ”老师好“ 《女校之星》茑屋线下特别活动   9/13/2025
094.jpg,,简中版《女校之星》茑屋 书店 活动 特典 老师好 透卡,透卡,女校之星（漫画）,"小林老师, 星老师, 中村老师",3个老师：星&小林&中村,,,,大陆,,- ”老师好“ 《女校之星》茑屋线下特别活动   9/13/2025
095.jpg,,越南版 《女校之星 1》首限 特典 贴纸,贴纸,女校之星（漫画）,"小林老师, 星老师",,,,,越南,,
096.jpg,,越南版《女校之星 3》随书附赠 明信片,纸片子,女校之星（漫画）,"小林老师, 星老师",小林星 打扫卫生,,,,越南,,
097.jpg,,越南版《女校之星 3》随书附赠 海报,纸片子,女校之星（漫画）,"小林老师, 星老师",女校之星 地铁,,,,越南,,
098.jpg,,日文版 《女校之星 2》发行 书店 特典,纸片子,女校之星（漫画）,小林老师,,アニメイト Animate A店,5/8/21,N/A 赠品,日本,,
99.jpg,,日文版 《女校之星 2》发行 Comirano企划 特典,纸片子,女校之星（漫画）,星老师,,,5/8/21,N/A 赠品,日本,,
100.jpg,,日文版 《女校之星 2》发行 书店 特典,纸片子,女校之星（漫画）,"小林老师, 星老师",,クとらのあな 虎穴 Toraoana,5/8/21,N/A 赠品,日本,,
101.jpg,,日文版 《女校之星 3》发行 书店 特典,纸片子,女校之星（漫画）,星老师,,アニメイト Animate A店,12/8/22,N/A 赠品,日本,,
102.jpg,,日文版 《女校之星 3》发行 Comirano企划 特典,贴纸,女校之星（漫画）,星老师,,,12/8/22,N/A 赠品,日本,,
103.jpg,,日文版 《女校之星 3》发行 各大书店 特典 ,纸片子,女校之星（漫画）,"小林老师, 星老师",,,12/8/22,N/A 赠品,日本,,
104.jpg,,日文版 《女校之星 3》发行 书店 特典,纸片子,女校之星（漫画）,,,ポータルTSUTAYA蔦屋書店,12/8/22,N/A 赠品,日本,,
105.jpg,,日文版 《女校之星 4》 首限 随书附赠 特典纸,纸片子,女校之星（漫画）,中村老师,,,10/8/24,N/A 赠品,日本,,
106.jpg,,韩文版《女校之星2》首刷特典 随书附赠 贴纸,贴纸,女校之星（漫画）,星老师,星老师 12宫格,,4/21/22,N/A 赠品,韩国,https://x.com/mundongcomics/status/1517332269220122625,
107.jpg,"〈가라오케 가자!〉〈빠졌어, 너에게〉 조각스티커 팩",《去唱卡拉OK吧》《为你着迷》贴纸包,贴纸,"去唱卡拉OK吧 （漫画）, 为你着迷（漫画）","成田狂儿, 冈聪实, 林美良, 二阶堂明, 目高优一","聪实 狂儿 TV对视, 聪实 蒙娜丽莎 , 狂儿 聪实纹身, 聪实 狂儿 “地狱可真热啊”",,9/17/25,N/A 赠品,韩国,https://www.aladin.co.kr/events/wevent.aspx?EventId=295409,"韩国阿拉丁书店为庆祝《去唱卡拉OK吧》和《为你着迷》动画版开播特别推出的满赠礼品：购买漫画类商品满 15,000 韩元或以上获赠贴纸一包"
108.jpg,,女校之星 三个老师（星、小林、中村）立牌韩国版,亚克力立牌/亚克力板,女校之星（漫画）,"小林老师, 星老师, 中村老师",3个老师：星&小林&中村,《女校之星4》发行,4/1/25,N/A 赠品,韩国,"나왔다 하면 화제, 바로 그 만화 봄과 함께 돌아온 <#여학교의별> 🌟 가장 새로운 이야기","韩国aladin book：凡购买漫画类商品（含单行本）满15,000韩元以上，即可获赠，先到先得"
109.jpg,,女校之星 三个老师（星、小林、中村）立牌日本版,亚克力立牌/亚克力板,女校之星（漫画）,"小林老师, 星老师, 中村老师",3个老师：星&小林&中村,《女校之星4》发行,,N/A 赠品,日本,https://x.com/munhakdongne/status/1907253408589124008,日文版《女校之星 4》特装版特典
110.jpg,,女校之星 三个老师（星、小林、中村）磁吸亚克力冰箱贴,亚克力磁吸（冰箱贴）,女校之星（漫画）,"小林老师, 星老师, 中村老师",3个老师：星&小林&中村,《女校之星4》发行,4/1/25,N/A 赠品,韩国,https://x.com/munhakdongne/status/1907253408589124009,"韩国Kyobo书店赠品
亚克力插画磁贴（磁铁附于亚克力板背面）
尺寸：4.0 x 4.0 厘米（厚 7 毫米）"
111.jpg,,女校之星 小林老师和星老师透明亚克力方形杯垫,杯垫（亚克力）,女校之星（漫画）,"小林老师, 星老师",小林星 夏威夷衫,《女校之星4》发行,4/1/25,N/A 赠品,韩国,https://x.com/munhakdongne/status/1907253408589124010,"韩国 예스24/Yes24书店赠品
亚克力方形透明杯垫
尺寸："
