image_filename,日文名字 Japanese Name,中文名字 Chinese Name,类型 Type,相关作品 Relevant Work,相关人物 Relevant Character,相关柄图 Relevant Image,Releaser/Event 发行商,发行日期 Release Year/Date,发行价格 Release Price ,发行地区 Release Area,信息来源 Resource,地点 Location,具体位置 Address,营业时间 Operation Hours,详细信息 Detailed Information
011.jpg,和山やま カラオケ行こ！パーカー,《去唱卡拉OK吧！》聪实 狂儿 训狗大师 拉链帽衫,衣服,去唱卡拉OK吧 （漫画）,"成田狂儿, 冈聪实",聪实 狂儿 训狗大师,RE:SHAZAM,3/9/2021,,日本,https://x.com/reshazam_info/status/1367738300107132929,,,,
012.jpg,描き下ろし商品〈和山やま〉「ファミレス行こ。」Tシャツ,《去家庭餐厅吧。上》T恤,衣服,去家庭餐厅吧/去恰饭吧 （漫画）,"成田狂儿, 冈聪实",聪实 狂儿 郁金香松饼咖啡,RE:SHAZAM,,5940,日本,https://store.re-shazam.com/items/49526635,,,,"M：胸长66cm/衣长49cm/肩长 44cm/袖长19cm
L：胸长70cm/衣长52cm/肩长 47cm/袖长20cm
XL：胸长74cm/衣长55cm/肩长 50cm/袖长22cm"
013.jpg,描き下ろし商品〈和山やま〉「ファミレス行こ。」ねこねこぱにっくトートバッグ,《去家庭餐厅吧。上》 猫猫慌慌：真棒~ 手提袋,包包,去家庭餐厅吧/去恰饭吧 （漫画）,成田狂儿,猫猫慌慌：真棒~,RE:SHAZAM,8/7/2021,3850,日本,https://store.re-shazam.com/items/49526909,,,,"尺寸：宽33cm * 高40cm * 深15cm
材质：棉"
014.jpg,〈和山やま〉A4クリアファイル3種セット（内1種 描き下ろしイラスト）,《去唱卡拉OK吧！》&《为你着迷》 一套三个A4文件夹,文件夹,"去唱卡拉OK吧 （漫画）, 为你着迷（漫画）","成田狂儿, 冈聪实, 二阶堂明, 目高优一, 林美良, 江间让二","聪实 狂儿 雨中撑伞 , 聪实 狂儿 训狗大师, 林美良 嘘",RE:SHAZAM,8/7/2021,1650（一套）,日本,https://store.re-shazam.com/items/37271538,,,,
015.jpg,〈和山やま〉「カラオケ行こ！&ファミレス行こ。」A4クリアファイル3種セット（内1種 描き下ろしイラスト）,《去唱卡拉OK吧！》&《去家庭餐厅吧。上》 一套三个A4文件夹,文件夹,"去唱卡拉OK吧 （漫画）, 去家庭餐厅吧/去恰饭吧 （漫画）","成田狂儿, 冈聪实","聪实 狂儿 郁金香松饼咖啡 , 聪实 蒙娜丽莎 , 猫猫慌慌：真棒~",RE:SHAZAM,8/7/2021,1650（一套）,日本,https://store.re-shazam.com/items/49528034,,,,
016.jpg,描き下ろし商品〈和山やま〉「カラオケ行こ! 」和山先生の犬柄タオルハンカチ,和山山老师的狗-拿话筒版 《去唱卡拉OK吧！》 T恤,衣服,"去唱卡拉OK吧 （漫画）, 和山山原创",,"和山山的狗 麦克风, 和山山的狗",RE:SHAZAM,8/7/2021,5830,日本,https://store.re-shazam.com/items/49526755,,,,"M：胸长65cm/衣长47.5cm/肩长 43cm/袖长18.5cm
L：胸长68cm/衣长50cm/肩长 45.5cm/袖长19.5cm
XL：胸长71cm/衣长52.5cm/肩长 48cm/袖长20.5cm"
017.jpg,描き下ろし商品〈和山やま〉「カラオケ行こ! 」和山先生の犬 Tシャツ,和山山老师的狗-拿话筒版 《去唱卡拉OK吧！》毛巾手帕,擦手巾,"去唱卡拉OK吧 （漫画）, 和山山原创",,"和山山的狗 麦克风, 和山山的狗",RE:SHAZAM,8/7/2021,2200,日本,https://store.re-shazam.com/items/49527181,,,,"尺寸：宽37cm * 高34cm 
材质：棉"
018.jpg,"和山先生の犬ぬいぐるみ 数量限定
",和山山老师的狗-毛绒玩具 （数量限定版）,毛绒娃娃,和山山原创,,和山山的狗,RE:SHAZAM,8/7/2021,4950,日本,,,,,
019.jpg,「カラオケ行こ！」グラフィックビッグポーチが,《去唱卡拉OK吧！》大号收纳袋,收纳袋,去唱卡拉OK吧 （漫画）,"成田狂儿, 冈聪实",聪实 狂儿 空港再会,RE:SHAZAM,12/18/2020,,日本,https://x.com/reshazam_info/status/1334422919829540865,,,,Comic Beam 25周年 Pop Up Store
020.jpg,「夢中さ、きみに。」グラフィックビッグポーチが,《为你着迷》  大号收纳袋,收纳袋,为你着迷（漫画）,"二阶堂明, 目高优一, 林美良, 江间让二","林美良 嘘, 林美良 熊猫头",RE:SHAZAM,12/18/2020,,日本,https://x.com/reshazam_info/status/1334422919829540865,,,,Comic Beam 25周年 Pop Up Store
021.jpg,和山やま『女の園の星』直筆サイン入りアクリルプレート,《女校之星》 复制和山山签名亚克力板,亚克力立牌亚克力板,女校之星（漫画）,"小林老师, 星老师",女校之星 地铁,,4/28/2024,10000,日本,https://shu-cream.com/goods/%E5%92%8C%E5%B1%B1%E3%82%84%E3%81%BE%E3%80%8E%E5%A5%B3%E3%81%AE%E5%9C%92%E3%81%AE%E6%98%9F%E3%80%8F%E7%9B%B4%E7%AD%86%E3%82%B5%E3%82%A4%E3%83%B3%E5%85%A5%E3%82%8A%E3%82%A2%E3%82%AF%E3%83%AA%E3%83%AB,,,,"尺寸：A4 横向 (297mm x 210mm)
页数：1
印刷：单面全彩
手工/复制手工签名"
022.jpg,和山やま『女の園の星』クリアファイル＋ステッカーセット（複製原画特典付き）,《女校之星》 透明文件夹+贴纸套装（附赠原画复制品）- 小林老师星老师复制原画,复制原画,女校之星（漫画）,"小林老师, 星老师",小林星 放大镜,BOOTH,4/23/2021,2750 （套组出售）,日本,https://booth.pm/en/items/2709956,,,,
023.jpg,女の園の星／はんこ2個セット,《女校之星》 - 小林老师星老师 + 继续努力 印章套组,印章,女校之星（漫画）,"小林老师, 星老师",小林星 鬼脸,BOOTH,4/28/2021,3850 （套组出售）,日本,https://booth.pm/en/items/2921344,,,,印章图案尺寸：3cm*3cm
024.jpg,女の園の星マグカップ,《女校之星》 - 小林老师的杯子,马克杯,女校之星（漫画）,星老师,星老师 马克杯,RE:SHAZAM,10/18/2021,2860,日本,https://nijimen.kusuguru.co.jp/topics/200304,,,,"直径80mm*高95mm
材质：陶
重量：350g
容量：350ml"
025.jpg,"「女の園の星] メガネケース
- マイクロファイバークロス付き -
小林先生のポロシャツモチーフ柄",《女校之星》 - 眼镜盒眼镜布套组-小林老师polo衫图案,眼镜布,女校之星（漫画）,小林老师,,RE:SHAZAM,10/18/2021,3740,日本,https://nijimen.kusuguru.co.jp/topics/200304,,,,"眼镜盒尺寸：160mm*60mm*40mm 
眼镜布尺寸：150mm*180mm"
026.jpg,和山やま『女の園の星』クリアファイル＋ステッカーセット（複製原画特典付き）,《女校之星》 透明文件夹+贴纸套装（附赠原画复制品）- 星老师“锹甲虫男孩”毕业照 （3普通+1闪光）,证件照,女校之星（漫画）,星老师,星老师 锹甲虫幸运男孩,BOOTH,4/23/2021,2750 （套组出售）,日本,https://booth.pm/en/items/2709956,,,,"- 毕业照单张尺寸：3cm*4cm
- 880 （毕业照单独再贩价格）10/8/2025"
027.jpg,和山やま『女の園の星』クリアファイル＋ステッカーセット（複製原画特典付き）,《女校之星》透明文件夹+贴纸套装（附赠原画复制品）- 一套四个A4文件夹,文件夹,女校之星（漫画）,"星老师, 小林老师",星老师 锹甲虫幸运男孩,BOOTH,4/23/2021,2750 （套组出售）,日本,https://booth.pm/en/items/2709956,,,,
028.jpg,女の園の星／チェキ風カードセット＜A／B＞,《女校之星》 - 语文教师 + 数学教师 拍立得套组 （一组6张，共2组，12张）,拍立得,女校之星（漫画）,"小林老师, 星老师, 中村老师","小林老师 举排球, 星老师 捧饭团",BOOTH,11/3/2024,1320 （单组）,日本,https://booth.pm/en/items/6159545,,,,"●套组A：国語教師和中村先生
星先生1／星先生2／星先生＆小林先生＆緑川先生／増田先生／金子先生／中村先生
●套组B：数学教師
小林先生1／小林先生2／小林先生3／小林先生4／緑川先生／長谷川先生
----------------------------------
单张尺寸：宽54mm*高86mm
----------------------------------"
029.jpg,コミックビーム28th展 ミニ色紙 和山やま,空港再会 原画复制色纸,色纸,去唱卡拉OK吧 （漫画）,"成田狂儿, 冈聪实",聪实 狂儿 空港再会,コミックビームComic Beam,6/28/2024,550,日本,https://store.kadokawa.co.jp/shop/g/g302403008770/?publication_id=pt00469,,,,"材质：纸质
尺寸：约136 x 120毫米
产地：日本"
030.jpg,コミックビーム28th展 A4クリアファイル 和山やま,聪实 萨莉亚接饮料 A4文件夹,文件夹,去家庭餐厅吧/去恰饭吧 （漫画）,冈聪实,聪实 萨莉亚 接饮料,コミックビームComic Beam,6/28/2024,660,日本,https://store.kadokawa.co.jp/shop/g/g302403008784/?publication_id=pt00469,,,,"材质：PP
尺寸：约 310 x 220 毫米
产地：日本"
031.jpg,コミックビーム28th展 A4クリアファイル キービジュアル,Comic Beam 第28届展览 A4透明文件夹,文件夹,去家庭餐厅吧/去恰饭吧 （漫画）,冈聪实,,コミックビームComic Beam,6/28/2024,660,日本,https://store.kadokawa.co.jp/shop/g/g302403008798/?publication_id=pt00469,,,,"材质：纸质
尺寸：约 80 x 55 毫米（因类型而异）
原产国：日本"
032.jpg,コミックビーム28th展 ダイカットステッカー（2枚セット） 和山やま,《去家庭餐厅吧。上》异形贴纸（2张一套）,贴纸,去家庭餐厅吧/去恰饭吧 （漫画）,"成田狂儿, 冈聪实","聪实 狂儿 萨莉亚 很不高兴见到你, 聪实 狂儿 散散步吧",コミックビームComic Beam,6/28/2024,605,日本,https://store.kadokawa.co.jp/shop/g/g302403008799/?publication_id=pt00469,,,,"素材：紙
サイズ：約80×55mm内（※種類によって異なります。）
生産国：日本"
033.jpg,コミックビーム28th展 アクリルキーホルダー 和山やま,《去唱卡拉OK吧！》地狱可真热啊 亚克力挂件,亚克力挂件,去唱卡拉OK吧 （漫画）,"成田狂儿, 冈聪实",聪实 狂儿 “地狱可真热啊”,コミックビームComic Beam,6/28/2024,770,日本,https://store.kadokawa.co.jp/shop/g/g302403008813/?publication_id=pt00469,,,,"材质：亚克力、铁
尺寸：约 80 x 50 毫米（因款式而异）
产地：日本"
034.jpg,コミックビーム28th展 高級複製原画 和山やま,《去家庭餐厅吧。上》散散步吧 高品质原画复制品,复制原画,去家庭餐厅吧/去恰饭吧 （漫画）,"成田狂儿, 冈聪实",聪实 狂儿 散散步吧,コミックビームComic Beam,7/19/2024,27500,日本,https://store.kadokawa.co.jp/shop/g/g302403008857/?publication_id=pt00469,,,,"材质：纸，画框：木质，画框表面：亚克力，胶合板
尺寸：约 445 x 338 毫米
产地：日本"
035.jpg,コミックビーム28th展 アクリルブロック 和山やま,《去家庭餐厅吧。上》狂儿 递手表 亚克力块,亚克力立牌亚克力板,去家庭餐厅吧/去恰饭吧 （漫画）,成田狂儿,狂儿 递表,コミックビームComic Beam,6/28/2024,770,日本,https://store.kadokawa.co.jp/shop/g/g302403008828/,,,,"材质：亚克力
尺寸：约 65 x 35 毫米（因款式而异）
产地：日本"
036.jpg,コミックビーム28th展 複製原稿 和山やま,《去家庭餐厅吧。上》狂儿 抽烟 复制原画,复制原画,去家庭餐厅吧/去恰饭吧 （漫画）,成田狂儿,狂儿 抽烟,コミックビームComic Beam,6/28/2024,1100,日本,https://store.kadokawa.co.jp/shop/g/g302403008842/,,,,"材质：纸质
尺寸：约364 x 257毫米
产地：日本"
037.jpg,「カラオケ行こ!」フレグランス - 成田狂児,《去唱卡拉OK吧！》角色香水 - 成田狂儿,香水,去唱卡拉OK吧 （漫画）,成田狂儿,,primaniacs,7/22/2022,6600,日本,https://nijimen.kusuguru.co.jp/topics/304982,,,,"那双迷人的眼睛让我心动不已，麝香般的馥郁香气也缓缓渗入。
在浓郁刺激的香料气息之下，隐藏着厚重皮革的醇厚气息。
散发着成熟稳重气息的优雅氛围，渐渐被如同人体肌肤般温暖的麝香所笼罩，营造出宁静祥和的氛围。
它是一种苦涩而深沉的香气，在危险的外表下散发出平静、阳刚的甜美。
前调：佛手柑、黑胡椒、孜然、乳香
中调：皮革香调，烟草；
基调：苔藓，麝香，香根草，劳丹脂"
038.jpg,「カラオケ行こ!」フレグランス - 岡聡実,《去唱卡拉OK吧！》角色香水 - 冈聪实,香水,去唱卡拉OK吧 （漫画）,冈聪实,,primaniacs,7/22/2022,6600,日本,https://nijimen.kusuguru.co.jp/topics/304982,,,,"将你烦恼的思绪藏在心底，就像一本清澈如水的肥皂笔记本。
淡淡的皂香与清新的甜味交织在一起。这微妙而又时而飘忽的香气，让我想起一个仍在成长的男孩心中那份难以言喻的苦闷。
很快，柔和的空气中充满了新鲜柏树的沙沙声，给你的心带来了一丝光明。
这款香水气味淡雅，却又不失个性，营造出一种令人愉悦的和谐感。
前调：海洋气息、甜瓜；
中调：肥皂气息、铃兰、玫瑰、樟树
最后：花香臭氧、麝香、檀香、柏树"
039.jpg,『カラオケ行こ！』マグカップ,《去唱卡拉OK吧！》马克杯,马克杯,去唱卡拉OK吧 （漫画）,"成田狂儿, 冈聪实","丰田世纪, 狂儿 递名片",,12/4/2021,2500,日本,https://store.kadokawa.co.jp/shop/g/g302111002245/,,,,"这款马克杯以《去唱卡拉OK吧！》为主题，饰有条纹图案，灵感源自“卡拉OK天堂”的壁纸，以及该系列中的人物和图案。

[尺寸]
高9.5厘米 x 直径8厘米 / 容量：350毫升

[材质]
陶瓷

[产地]
杯身：中国 / 加工：日本"
040.jpg,『カラオケ行こ！』アクリルプレート,《去唱卡拉OK吧！》亚克力板,亚克力立牌亚克力板,去唱卡拉OK吧 （漫画）,"成田狂儿, 冈聪实",聪实 狂儿 雨中撑伞,,12/4/2021,4500,日本,https://store.kadokawa.co.jp/shop/g/g302111002247/,,,,"这款亚克力板以漫画《卡拉OK伊科！》的封面插图为主题，并附有和山老师的电子签名，让您可以欣赏到精美的彩色插图。

[尺寸]
高19.5厘米 x 宽25厘米 / 含支架

[材质]
亚克力（主体），含金属支架

[产地]
日本"
041.jpg,メニュー注文特典：コースター,菜单点餐额外赠送：杯垫（一共四款）,杯垫（纸质）,去唱卡拉OK吧 （漫画）,"成田狂儿, 冈聪实","聪实 吃炒饭, 狂儿 吃巴菲, 聪实 唱红 , 狂儿 唱红",,12/4/2021,N/A 赠品,日本,https://nijimen.kusuguru.co.jp/topics/240609,,,,"作为咖啡馆的特别福利，顾客每点一份菜单上的菜品，即可获赠一个随机挑选的原创杯垫。集齐四种类型后，背面的插图就会完整。

预购门票 660， 饮品价格650~770."
042.jpg,事前予約：缶バッジセット,门票预购额外赠送：徽章一对,徽章吧唧,去唱卡拉OK吧 （漫画）,"成田狂儿, 冈聪实",聪实 吃炒饭,,12/4/2021,N/A 赠品,日本,https://nijimen.kusuguru.co.jp/topics/240610,,,,您可以通过在 Lawson Ticket 购买您想要的日期和时间的门票进行提前预订，这将使您享有优先进入商店的权利，并附赠两枚原装罐装徽章。
043.jpg,『カラオケ行こ！』＆『ファミレス行こ。』ステッカーセット Aセット,《去唱卡拉OK吧！》 & 《去家庭餐厅吧。上》 贴纸套装 A,贴纸,去唱卡拉OK吧 （漫画）,"成田狂儿, 冈聪实",,,12/4/2021,900,日本,https://store.kadokawa.co.jp/shop/g/g302111002241/,,,,"[尺寸]
约高6厘米 x 宽5厘米 / 一套5张
[材质]
PVC
[产地]
日本"
044.jpg,『カラオケ行こ！』＆『ファミレス行こ。』ステッカーセット Bセット,《去唱卡拉OK吧！》 & 《去家庭餐厅吧。上》 贴纸套装 B,贴纸,去唱卡拉OK吧 （漫画）,"成田狂儿, 冈聪实",聪实 狂儿 TV对视,,12/4/2021,900,日本,https://store.kadokawa.co.jp/shop/g/g302111002243/,,,,"[尺寸]
约高6厘米 x 宽5厘米 / 一套5张
[材质]
PVC
[产地]
日本"
045.jpg,『カラオケ行こ！』＆『ファミレス行こ。』ステッカーセット Cセット,《去唱卡拉OK吧！》 & 《去家庭餐厅吧。上》 贴纸套装 C,贴纸,"去唱卡拉OK吧 （漫画）, 去家庭餐厅吧/去恰饭吧 （漫画）","成田狂儿, 冈聪实","狂儿 抽烟, 狂儿 22？",,12/4/2021,900,日本,https://store.kadokawa.co.jp/shop/g/g302111002244/,,,,"[尺寸]
约高6厘米 x 宽5厘米 / 一套5张
[材质]
PVC
[产地]
日本"
046.jpg,朗読劇『カラオケ行こ！』 和山やま描き下ろしメインビジュアル F4キャンバスボード,朗读剧 《去唱卡拉OK吧！》 F4帆布画,帆布挂画,去唱卡拉OK吧 （漫画）,"成田狂儿, 冈聪实",聪实 狂儿 家庭照,朗読劇『カラオケ行こ！』,3/1/2022,7700,日本,https://store.kadokawa.co.jp/shop/g/g4541993102877/,,,,"由原作者山山和山绘制的朗读剧主视觉插图，现已制作成F4尺寸的画布画板！
尺寸：高333毫米 x 宽243毫米，厚度：约2厘米"
047.jpg,朗読劇『カラオケ行こ！』パンフレット,朗读剧 《去唱卡拉OK吧！》 小册子,小册子,去唱卡拉OK吧 （漫画）,"成田狂儿, 冈聪实",聪实 狂儿 家庭照,朗読劇『カラオケ行こ！』,3/1/2022,1800,日本,https://store.kadokawa.co.jp/shop/g/g4541993102167/,,,,"朗读剧《去唱卡拉OK吧！》的宣传册，16页全彩，包含Yama Yama和演员的评论，以及主演市川太一和江口拓也的剧照！
A4尺寸 16页 全彩"
048.jpg,【非売品】朗読劇「カラオケ行こ！」ブックカバー,朗读剧 《去唱卡拉OK吧！》 【非卖品】书皮/包书纸,包书皮,去唱卡拉OK吧 （漫画）,"成田狂儿, 冈聪实",聪实 狂儿 家庭照,朗読劇『カラオケ行こ！』,3/1/2022,N/A,日本,,,,,
049.jpg,【非売品】朗読劇「カラオケ行こ！」A4クリアファイル,朗读剧 《去唱卡拉OK吧！》 【非卖品】A4透明双面文件夹,文件夹,去唱卡拉OK吧 （漫画）,"成田狂儿, 冈聪实",聪实 狂儿 家庭照,朗読劇『カラオケ行こ！』,3/1/2022,N/A,日本,https://buyee.jp/mercari/item/m59504009489?conversionType=Mercari_DirectSearch,,,,
050.jpg,,朗读剧 《去唱卡拉OK吧！》 【非卖品】双面明信片,纸片子,去唱卡拉OK吧 （漫画）,"成田狂儿, 冈聪实",聪实 狂儿 家庭照,朗読劇『カラオケ行こ！』,3/1/2022,N/A,日本,https://buyee.jp/mercari/item/m59504009489?conversionType=Mercari_DirectSearch,,,,
051.jpg,朗読劇『カラオケ行こ！』缶バッジ,朗读剧 《去唱卡拉OK吧！》徽章（盲盒）,徽章吧唧,去唱卡拉OK吧 （漫画）,"成田狂儿, 冈聪实",聪实 狂儿 家庭照,朗読劇『カラオケ行こ！』,3/1/2022,550（单款）,日本,https://store.kadokawa.co.jp/shop/g/g4541993102174/,,,,"共8种（随机）
产品尺寸：直径57mm"
052.jpg,朗読劇『カラオケ行こ！』アクリルスタンド成田狂児,朗读剧 《去唱卡拉OK吧！》亚克力立牌-成田狂儿,亚克力立牌亚克力板,去唱卡拉OK吧 （漫画）,成田狂儿,聪实 狂儿 家庭照,朗読劇『カラオケ行こ！』,3/1/2022,1800,日本,https://store.kadokawa.co.jp/shop/g/g4541993102228/,,,,"亚克力立牌，上面印有朗读剧《成田狂儿》的主视觉插图，由原作者 Yama Yama 绘制！
■规格
尺寸：最大约高140 x 宽62毫米，厚度3毫米
*尺寸可能因图示略有不同。"
053.jpg,朗読劇『カラオケ行こ！』アクリルスタンド岡聡実,朗读剧 《去唱卡拉OK吧！》亚克力立牌-冈聪实,亚克力立牌亚克力板,去唱卡拉OK吧 （漫画）,冈聪实,聪实 狂儿 家庭照,朗読劇『カラオケ行こ！』,3/1/2022,1800,日本,https://store.kadokawa.co.jp/shop/g/g4541993102235/,,,,"亚克力立牌，上面印有朗读剧《成田狂儿》的主视觉插图，由原作者 Yama Yama 绘制！
■规格
尺寸：最大约高140 x 宽62毫米，厚度3毫米
*尺寸可能因图示略有不同。"
054.jpg,,简中版《去家庭餐厅吧 上》/《去恰饭吧》特装版 特典  烫金徽章组,徽章吧唧,去家庭餐厅吧/去恰饭吧 （漫画）,"成田狂儿, 冈聪实",,,10/20/2025,,大陆,,,,,
055.jpg,,简中版《去家庭餐厅吧 上》/《去恰饭吧》特装版 茑屋限定 特典 他和他 光栅卡,光栅卡,去家庭餐厅吧/去恰饭吧 （漫画）,"成田狂儿, 冈聪实",,,10/20/2025,,大陆,,,,,
056.jpg,,简中版《去家庭餐厅吧 上》/《去恰饭吧》普通版 特典  再会名场面 光栅卡,光栅卡,去家庭餐厅吧/去恰饭吧 （漫画）,"成田狂儿, 冈聪实","狂儿 递名片 , 狂儿 递表",,10/20/2025,,大陆,,,,,
057.jpg,,简中版《去家庭餐厅吧 上》/《去恰饭吧》普通版 特典 贴纸,贴纸,去家庭餐厅吧/去恰饭吧 （漫画）,"成田狂儿, 冈聪实","狂儿 递表, 聪实 狂儿 萨莉亚 很不高兴见到你, 猫猫慌慌：真棒~",,10/20/2025,,大陆,,,,,
058.jpg,,简中版《去家庭餐厅吧 上》/《去恰饭吧》普通版 特典  一起去恰饭 透卡,透卡,去家庭餐厅吧/去恰饭吧 （漫画）,"成田狂儿, 冈聪实",聪实 狂儿 咲茶店对视,,10/20/2025,,大陆,,,,,
059.jpg,,简中版《去家庭餐厅吧。上》/《去恰饭吧》特装版 茑屋限定 特典  一起去点餐 透卡,透卡,去家庭餐厅吧/去恰饭吧 （漫画）,"成田狂儿, 冈聪实",聪实 狂儿 中餐馆点单,,10/20/2025,,大陆,,,,,
